+-----------+-------------------+--------------------+-----------------------------------------+----------------------------+------------+--------+--------------------+------------------------+---------------------------+---------------------+--------------------+----------+--------------------------------+------------------------+--------------------+-------------------+--------------------------------------------------+-----------+------------+----------------------+----------------+------------+------------+---------------------+-----------+
|    NTS    |       ASSIGN      |      BOOLEAN       |                   CALL                  |           COMMA            |     DO     |  ELSE  |       FLOAT        |           ID           |             IF            |         INT         |      INTEGER       |  LBRACE  |            LBRACKET            |         LPAREN         |       MULIT        |        PLUS       |                       PROC                       |   RBRACE  |  RBRACKET  |        RETURN        |     RPAREN     |    SEMI    |    THEN    |        WHILE        |     $     |
+-----------+-------------------+--------------------+-----------------------------------------+----------------------------+------------+--------+--------------------+------------------------+---------------------------+---------------------+--------------------+----------+--------------------------------+------------------------+--------------------+-------------------+--------------------------------------------------+-----------+------------+----------------------+----------------+------------+------------+---------------------+-----------+
|  Program  |                   |    Program -> P    |               Program -> P              |                            |            |        |    Program -> P    |      Program -> P      |        Program -> P       |                     |    Program -> P    |          |                                |                        |                    |                   |                   Program -> P                   |           |            |     Program -> P     |                |            |            |     Program -> P    |           |
|     P     |                   |      P -> D P      |                 P -> S P                |                            |            |        |      P -> D P      |        P -> S P        |          P -> S P         |                     |      P -> D P      |          |                                |                        |                    |                   |                     P -> D P                     |  P -> %$  |            |       P -> S P       |                |            |            |       P -> S P      |  P -> %$  |
|     D     |                   |  D -> T ID A SEMI  |                                         |                            |            |        |  D -> T ID A SEMI  |                        |                           |                     |  D -> T ID A SEMI  |          |                                |                        |                    |                   |  D -> PROC X ID LPAREN M RPAREN LBRACE P RBRACE  |           |            |                      |                |            |            |                     |           |
|     A     |  A -> ASSIGN F A  |                    |                                         |      A -> COMMA ID A       |            |        |                    |                        |                           |                     |                    |          |                                |                        |                    |                   |                                                  |           |            |                      |                |  A -> %$   |            |                     |           |
|     T     |                   |      T -> X C      |                                         |                            |            |        |      T -> X C      |                        |                           |                     |      T -> X C      |          |                                |                        |                    |                   |                                                  |           |            |                      |                |            |            |                     |           |
|     X     |                   |    X -> BOOLEAN    |                                         |                            |            |        |     X -> FLOAT     |                        |                           |                     |    X -> INTEGER    |          |                                |                        |                    |                   |                                                  |           |            |                      |                |            |            |                     |           |
|     C     |                   |                    |                                         |                            |            |        |                    |        C -> %$         |                           |                     |                    |          |   C -> LBRACKET E RBRACKET C   |                        |                    |                   |                                                  |           |            |                      |                |            |            |                     |           |
|     S     |                   |                    |  S -> CALL ID LPAREN Elist RPAREN SEMI  |                            |            |        |                    |  S -> L ASSIGN E SEMI  |  S -> IF E THEN S ELSE S  |                     |                    |          |                                |                        |                    |                   |                                                  |           |            |  S -> RETURN E SEMI  |                |            |            |  S -> WHILE E DO S  |           |
|     E     |                   |                    |                                         |                            |            |        |                    |       E -> G E'        |                           |      E -> G E'      |                    |          |                                |       E -> G E'        |                    |                   |                                                  |           |            |                      |                |            |            |                     |           |
|     E'    |                   |                    |                                         |          E' -> %$          |  E' -> %$  |        |                    |                        |                           |                     |                    |          |                                |                        |                    |  E' -> PLUS G E'  |                                                  |           |  E' -> %$  |                      |    E' -> %$    |  E' -> %$  |  E' -> %$  |                     |           |
|     G     |                   |                    |                                         |                            |            |        |                    |       G -> F G'        |                           |      G -> F G'      |                    |          |                                |       G -> F G'        |                    |                   |                                                  |           |            |                      |                |            |            |                     |           |
|     G'    |                   |                    |                                         |          G' -> %$          |  G' -> %$  |        |                    |                        |                           |                     |                    |          |                                |                        |  G' -> MULIT F G'  |      G' -> %$     |                                                  |           |  G' -> %$  |                      |    G' -> %$    |  G' -> %$  |  G' -> %$  |                     |           |
|     F     |                   |                    |                                         |                            |            |        |                    |         F -> L         |                           |       F -> INT      |                    |          |                                |  F -> LPAREN E RPAREN  |                    |                   |                                                  |           |            |                      |                |            |            |                     |           |
|     L     |                   |                    |                                         |                            |            |        |                    |       L -> ID L'       |                           |                     |                    |          |                                |                        |                    |                   |                                                  |           |            |                      |                |            |            |                     |           |
|     L'    |      L' -> %$     |                    |                                         |          L' -> %$          |  L' -> %$  |        |                    |                        |                           |                     |                    |          |  L' -> LBRACKET E RBRACKET L'  |                        |      L' -> %$      |      L' -> %$     |                                                  |           |  L' -> %$  |                      |    L' -> %$    |  L' -> %$  |  L' -> %$  |                     |           |
|     M     |                   |    M -> X ID M'    |                                         |                            |            |        |    M -> X ID M'    |                        |                           |                     |    M -> X ID M'    |          |                                |                        |                    |                   |                                                  |           |            |                      |                |            |            |                     |           |
|     M'    |                   |                    |                                         |    M' -> COMMA X ID M'     |            |        |                    |                        |                           |                     |                    |          |                                |                        |                    |                   |                                                  |           |            |                      |    M' -> %$    |            |            |                     |           |
|   Elist   |                   |                    |                                         |                            |            |        |                    |   Elist -> E Elist'    |                           |  Elist -> E Elist'  |                    |          |                                |   Elist -> E Elist'    |                    |                   |                                                  |           |            |                      |                |            |            |                     |           |
|   Elist'  |                   |                    |                                         |  Elist' -> COMMA E Elist'  |            |        |                    |                        |                           |                     |                    |          |                                |                        |                    |                   |                                                  |           |            |                      |  Elist' -> %$  |            |            |                     |           |
+-----------+-------------------+--------------------+-----------------------------------------+----------------------------+------------+--------+--------------------+------------------------+---------------------------+---------------------+--------------------+----------+--------------------------------+------------------------+--------------------+-------------------+--------------------------------------------------+-----------+------------+----------------------+----------------+------------+------------+---------------------+-----------+
